,Inflight wifi service,Gate location,Online boarding,Inflight entertainment,On-board service,Leg room service,Checkin service,Cleanliness,Type of Travel Ordinal,Class Ordinal,satisfaction Ordinal
344,4,1,4,3,3,2,4,5,0,1,0
346,2,4,4,2,2,2,1,4,1,1,0
347,5,5,5,5,5,5,5,3,1,1,1
348,1,1,5,5,5,5,4,4,1,1,1
349,3,3,3,3,3,3,3,5,1,1,1
350,1,4,3,4,4,1,1,4,0,2,0
351,2,2,3,5,5,4,3,3,1,1,1
352,1,4,1,4,4,1,2,4,1,0,0
353,4,4,5,5,5,5,3,4,1,1,1
354,2,2,4,2,2,2,5,4,1,1,1
355,5,3,5,5,3,2,5,5,1,2,1
356,2,1,2,2,2,2,2,2,1,1,0
357,2,3,3,1,1,2,2,1,0,2,0
358,5,2,4,4,5,4,5,4,0,2,1
360,3,4,3,3,1,4,1,3,0,2,0
362,2,2,4,4,5,3,4,4,1,1,1
363,3,3,5,3,3,3,5,5,1,1,1
364,4,3,4,4,4,3,1,4,1,2,1
365,3,3,4,4,4,4,3,4,1,1,1
367,5,5,5,5,5,5,5,4,1,1,1
368,3,3,5,5,5,5,5,4,1,1,1
369,5,5,4,4,4,4,4,3,1,1,1
370,3,3,5,3,3,4,3,5,1,1,1
371,1,1,4,5,5,5,5,5,1,1,1
372,2,2,2,4,2,5,1,4,0,2,0
373,1,1,4,4,4,4,3,3,1,1,1
374,2,2,4,4,4,4,5,4,1,1,1
375,5,3,5,5,5,1,3,5,1,0,1
376,4,2,4,4,2,5,5,4,1,2,1
377,1,1,2,2,1,2,4,2,1,1,0
379,4,4,4,5,5,5,5,4,1,1,1
380,2,3,3,2,2,2,4,2,1,1,0
381,1,3,1,1,4,4,4,1,0,2,0
382,2,5,2,5,4,3,4,5,1,1,0
383,3,3,4,4,4,4,5,3,1,1,1
384,2,4,2,1,1,4,1,1,0,2,0
385,4,4,4,4,3,2,4,4,1,1,1
386,2,2,1,4,4,4,4,3,1,1,1
387,1,1,5,4,4,4,5,3,1,1,1
388,3,3,5,4,4,4,5,4,1,1,1
389,5,5,4,4,4,4,3,5,1,1,1
390,4,4,4,4,5,2,3,4,1,1,1
391,2,5,2,4,3,1,1,4,0,2,0
392,1,3,1,5,3,2,5,5,0,2,0
393,2,4,2,2,2,4,3,2,0,2,0
394,1,4,1,4,5,3,5,4,0,2,0
395,2,1,3,3,3,3,2,2,1,1,0
396,2,3,2,2,3,5,4,2,0,2,0
397,1,3,2,3,3,1,3,3,0,2,0
398,1,1,5,5,4,2,1,5,1,1,1
399,2,3,2,1,5,4,3,1,0,2,0
400,2,2,5,5,5,5,5,3,1,1,1
401,3,2,3,4,3,5,3,4,0,2,0
402,5,5,5,5,5,2,3,5,1,1,1
403,4,2,5,4,4,4,2,5,1,0,1
404,3,3,2,1,2,3,2,2,1,2,0
405,2,3,2,1,4,2,4,1,0,2,0
406,4,4,5,2,2,2,5,4,1,1,1
407,2,2,3,2,2,2,1,4,1,2,0
408,4,4,3,5,5,5,4,3,1,1,1
410,2,1,3,1,3,2,4,1,0,2,0
411,3,3,4,5,5,5,5,5,1,1,1
412,5,5,1,4,4,4,5,5,1,1,1
413,1,3,1,3,5,5,3,3,1,1,0
414,2,3,2,3,3,5,5,3,1,2,1
415,5,5,4,4,4,4,4,4,1,1,1
416,1,2,2,1,1,1,1,4,1,1,0
417,3,1,3,5,4,4,3,5,1,1,0
418,4,2,3,4,4,4,1,3,1,1,0
419,1,3,1,1,5,2,3,1,0,0,0
421,5,5,4,4,4,3,5,3,1,1,1
422,2,2,3,5,5,5,4,5,1,1,1
423,3,3,4,3,3,3,3,1,1,1,0
424,3,3,2,4,4,3,1,5,0,2,0
425,2,3,2,3,2,4,4,3,0,2,0
426,3,3,3,2,2,4,3,2,0,0,0
427,4,3,4,4,4,5,1,4,1,0,1
428,3,3,5,5,5,5,3,5,1,1,1
429,4,4,3,2,2,2,1,2,1,1,0
430,3,3,4,4,4,4,1,1,1,1,1
431,1,1,5,5,4,4,3,5,1,1,1
432,3,3,3,5,4,4,4,5,1,2,0
433,5,5,2,2,5,3,3,2,1,1,1
434,2,1,2,1,5,4,1,1,0,2,0
435,5,5,5,2,2,2,3,4,1,1,1
436,3,3,4,4,3,1,2,4,1,2,0
437,2,1,4,2,2,2,5,3,0,2,0
439,3,4,3,3,3,2,4,3,1,2,0
440,2,2,5,5,5,5,3,5,1,1,1
441,2,2,5,4,4,4,3,4,1,1,1
442,2,3,3,4,4,2,4,5,0,2,0
443,3,3,3,3,3,3,3,4,1,1,0
444,3,2,3,2,1,2,3,3,1,2,0
445,3,2,3,3,4,3,2,3,1,2,0
446,1,1,2,2,2,2,4,2,1,1,0
447,5,3,1,4,4,4,2,4,0,2,1
448,5,5,5,4,4,5,4,4,1,1,1
449,4,1,4,5,3,2,4,5,1,1,0
450,2,2,5,5,5,5,5,5,1,1,1
451,4,4,4,4,3,3,3,4,1,1,1
452,1,1,5,5,5,5,3,3,1,1,1
453,2,2,2,2,4,3,3,2,1,2,0
454,5,5,5,5,5,5,5,3,1,1,1
455,5,5,4,4,3,2,4,4,1,1,1
456,2,3,4,2,2,4,3,3,0,2,0
457,3,5,3,5,3,4,3,5,0,2,0
458,5,5,5,5,4,4,5,5,1,1,1
459,4,1,3,4,4,3,1,3,1,1,0
460,1,1,5,5,5,5,4,5,1,1,1
461,2,3,2,1,4,2,5,1,0,2,0
462,2,2,2,2,1,1,1,2,1,2,0
463,5,5,4,4,3,5,3,4,1,1,1
464,3,5,3,3,4,2,4,3,1,1,0
465,2,2,5,4,4,4,5,3,1,1,1
467,4,4,5,4,4,4,4,3,1,1,1
469,2,4,2,2,3,5,4,2,1,2,0
470,4,3,4,1,3,4,2,1,0,2,0
471,1,1,3,5,5,5,1,3,1,1,1
472,2,2,2,2,2,2,3,4,1,1,0
473,4,4,5,4,4,4,3,3,1,1,1
474,2,2,2,2,2,2,2,2,1,1,0
475,5,5,1,5,5,5,4,5,1,1,1
476,4,4,4,3,3,3,3,3,1,1,1
477,4,5,5,4,3,2,4,4,1,2,1
479,3,3,2,4,4,5,4,3,1,1,1
481,5,5,4,4,4,4,4,4,1,1,1
482,4,1,4,1,2,5,4,4,0,2,1
483,1,1,5,4,4,5,4,3,1,1,1
484,3,3,3,2,2,5,3,2,1,2,0
485,3,2,5,2,2,3,4,3,0,2,0
486,2,5,4,2,2,2,4,3,1,1,0
487,5,5,5,5,5,5,3,3,1,1,1
488,3,1,3,1,4,4,5,1,0,2,0
489,1,1,1,2,3,4,4,2,0,2,0
490,1,3,3,5,4,2,5,5,0,0,0
491,2,4,2,2,1,1,3,2,1,0,1
492,4,4,5,5,5,5,5,1,1,1,1
493,4,1,2,4,4,4,3,1,1,1,0
494,4,4,4,4,4,4,4,3,1,1,1
495,2,5,2,2,3,5,2,2,1,0,0
496,3,1,3,1,5,1,5,1,0,2,0
497,2,4,2,2,3,2,4,2,0,0,0
498,3,2,3,3,5,3,4,3,0,2,0
499,2,5,4,2,2,2,1,3,1,0,0
500,4,4,5,5,2,3,4,5,1,1,1
501,4,4,4,4,4,4,4,5,1,1,1
502,2,2,4,5,5,2,4,4,0,1,0
503,4,4,5,4,4,4,5,5,0,1,0
504,4,2,4,2,5,4,4,2,0,2,0
505,1,3,1,4,3,5,3,4,0,2,0
506,3,3,4,4,1,2,4,4,0,0,0
507,3,5,3,2,3,5,3,2,0,2,0
508,1,3,3,5,5,1,5,5,0,2,0
509,3,4,3,1,4,2,1,1,1,2,0
510,4,4,1,4,4,4,5,3,1,2,1
511,2,2,4,4,5,1,4,4,1,1,1
512,3,3,5,4,4,3,5,3,0,2,0
513,1,2,1,3,5,3,3,3,0,2,0
514,5,1,1,4,4,5,1,1,1,2,1
515,5,1,5,2,4,5,3,2,1,1,1
516,1,2,2,1,1,1,2,4,1,1,0
517,4,4,4,4,4,4,4,5,1,1,1
518,1,2,1,3,4,2,1,3,1,1,0
519,1,1,4,1,1,1,1,2,1,1,0
520,3,4,3,4,2,3,3,4,0,2,0
521,2,4,2,2,3,2,2,2,1,2,0
522,2,2,1,4,4,4,3,5,1,1,1
523,4,2,4,4,4,4,4,4,1,2,0
524,2,2,5,4,4,4,3,3,1,1,1
525,3,3,4,4,4,4,4,3,1,1,1
526,1,4,1,3,1,1,1,3,1,2,0
527,2,3,2,1,4,4,5,1,0,2,0
528,3,3,4,4,4,3,4,5,0,2,0
529,2,1,2,2,3,1,1,2,1,2,0
530,1,1,5,3,3,3,5,3,1,1,1
531,5,4,3,3,3,5,2,2,0,2,1
532,3,4,3,3,2,5,3,3,1,2,0
533,4,2,5,1,1,4,5,5,0,2,0
534,3,3,5,4,4,5,3,3,1,1,1
535,2,2,5,5,5,5,4,4,1,1,1
536,4,4,4,4,4,3,3,3,1,1,0
537,2,2,4,5,2,1,3,5,1,1,1
538,3,3,2,3,4,1,3,3,1,2,0
539,2,2,5,5,3,2,4,5,1,1,1
540,4,2,4,4,3,4,4,4,1,1,1
541,2,2,5,4,4,4,4,5,1,1,1
542,5,5,5,5,5,4,5,4,1,1,1
543,5,2,5,5,4,1,4,5,1,2,1
545,3,4,3,4,4,2,1,4,0,2,0
546,4,2,4,4,4,3,4,4,1,0,1
547,5,5,4,5,5,5,3,5,1,1,1
548,3,1,1,3,3,3,3,1,1,2,1
549,2,2,2,3,5,3,3,3,0,0,0
550,5,5,5,2,2,2,3,5,1,1,1
551,3,3,3,3,5,3,2,3,1,2,0
552,3,2,3,5,1,1,4,5,1,2,0
553,4,4,4,1,4,3,3,1,1,1,0
555,4,4,3,4,4,3,4,3,1,1,0
556,3,3,3,2,2,2,3,5,1,1,1
557,3,3,3,2,2,2,4,4,1,1,1
558,4,1,4,4,5,2,4,4,0,2,0
559,4,1,3,1,4,4,3,1,0,2,0
560,3,3,5,4,4,4,3,3,1,1,1
561,2,1,2,5,3,2,5,5,0,2,0
562,2,3,2,5,4,3,4,5,0,2,0
563,2,2,3,5,5,5,3,3,1,1,1
564,2,2,5,5,5,5,4,5,1,1,1
565,2,2,2,5,5,5,3,3,1,1,1
566,5,5,5,4,4,4,5,4,1,1,1
567,5,5,5,4,4,5,5,3,1,1,1
568,1,1,5,4,4,4,5,4,1,1,1
569,4,4,5,5,5,5,4,5,1,1,1
570,2,4,2,3,3,3,3,3,1,2,0
571,3,3,3,3,4,3,5,3,1,2,0
572,2,2,2,2,3,2,5,2,0,2,0
573,4,3,4,1,3,1,2,1,0,2,0
574,2,3,2,1,4,4,3,1,0,2,0
575,2,2,4,5,5,5,5,3,1,1,1
577,5,5,4,5,5,5,4,3,1,1,1
578,3,4,3,1,3,1,3,1,0,2,0
579,4,4,4,5,4,2,3,5,1,2,0
580,5,5,2,5,5,5,3,5,1,1,1
581,5,4,2,5,5,5,1,2,1,2,1
582,5,5,4,3,5,5,4,4,1,1,1
583,1,1,4,4,4,5,5,3,1,1,1
584,1,5,1,1,1,1,1,2,1,1,0
585,3,2,3,5,3,1,1,5,0,2,0
586,2,2,2,5,4,5,4,5,1,1,0
587,4,5,1,3,1,4,4,4,1,0,0
589,1,1,4,5,5,5,5,4,1,1,1
590,2,2,5,5,5,5,4,5,1,1,1
591,1,4,1,2,2,3,3,2,1,2,0
592,2,3,1,2,5,3,4,2,1,1,0
593,2,2,5,5,5,5,4,3,1,1,1
594,5,1,5,5,2,1,5,5,1,2,1
595,4,3,4,3,3,4,5,2,0,2,0
596,3,4,3,3,4,1,5,3,0,2,0
597,3,4,2,3,3,4,4,5,0,2,0
598,2,4,4,3,5,2,4,4,1,2,0
599,3,1,3,3,3,4,3,3,0,2,0
600,4,5,4,4,2,1,4,4,1,0,1
601,3,5,3,2,3,3,3,2,0,2,0
602,3,4,4,2,2,1,4,2,0,0,0
603,2,3,1,3,3,3,4,4,1,2,0
604,4,3,4,4,5,3,4,4,1,1,0
606,2,4,2,3,2,2,2,3,1,2,0
607,2,2,4,4,5,3,5,4,1,1,1
608,4,4,4,3,4,2,5,3,0,2,1
609,5,5,5,5,3,4,3,5,1,1,1
610,4,4,5,3,5,4,5,5,1,1,1
611,3,1,4,3,3,3,3,1,1,1,0
612,4,4,4,4,4,5,4,4,1,2,0
616,3,3,5,5,5,5,4,4,1,1,1
617,3,4,3,2,1,1,3,2,1,1,0
618,1,2,2,1,2,2,4,1,1,1,0
619,3,3,5,4,2,5,5,5,1,1,1
620,4,5,4,4,4,4,4,1,1,0,1
621,3,4,3,1,3,5,2,1,1,2,0
622,3,3,3,2,5,2,3,2,1,1,0
